channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
3,1391,4,0,8880,8880,0,19157272.188,19159294.188,2022.000
3,1392,4,1,8882,8883,1,19161439.375,19164498.125,3058.750
3,1393,4,2,8884,8885,1,19165603.500,19169545.625,3942.125
3,1395,4,4,8888,8888,0,19173935.688,19175524.875,1589.188
3,1396,4,5,8890,8891,1,19178101.562,19180838.250,2736.688
3,1397,9,0,8940,8940,0,19282251.625,19283789.688,1538.062
3,1398,9,1,8942,8942,0,19286417.625,19288008.062,1590.438
3,1399,9,2,8944,8945,1,19290583.500,19293641.062,3057.562
3,1400,9,3,8946,8947,1,19294750.312,19298472.500,3722.188
3,1402,9,5,8950,8950,0,19303081.562,19304181.312,1099.750
3,1403,15,0,9012,9012,0,19432227.500,19433891.438,1663.938
3,1404,15,1,9014,9015,1,19436396.250,19439313.062,2916.812
3,1405,15,2,9016,9017,1,19440559.500,19443973.688,3414.188
3,1407,15,4,9020,9020,0,19448891.500,19450164.625,1273.125
3,1408,15,5,9022,9023,1,19453057.562,19455177.125,2119.562
3,1409,0,0,9024,9024,0,19457223.500,19459296.188,2072.688
3,1410,0,1,9026,9027,1,19461394.875,19464494.125,3099.250
3,1411,0,2,9028,9029,1,19465555.500,19469523.375,3967.875
3,1413,0,4,9032,9032,0,19473887.938,19475478.375,1590.438
3,1414,0,5,9034,9035,1,19478053.562,19480785.750,2732.188
