channel,kind,tick,us
0,E,5486,12087570.188
0,E,5488,12091735.500
0,E,5490,12095901.625
0,E,5492,12100067.500
0,E,5494,12104233.500
0,E,5556,12233379.500
0,E,5558,12237545.562
0,E,5560,12241711.500
0,E,5562,12245887.125
0,E,5564,12250043.562
0,E,5566,12254209.750
0,E,5568,12258375.562
0,E,5570,12262544.438
0,E,5572,12266707.500
0,E,5574,12270884.062
0,E,5576,12275039.500
0,E,5578,12279205.750
0,E,5604,12333363.500
0,E,5606,12337531.312
0,E,5608,12341695.688
0,E,5610,12345861.500
0,E,5612,12350027.500
0,E,5614,12354198.312
0,E,5616,12358359.562
0,E,5618,12362528.938
0,E,5620,12366695.312
0,E,5622,12370857.500
0,E,5624,12375023.500
0,E,5626,12379189.500
0,E,5676,12483339.500
0,E,5678,12487510.750
0,E,5680,12491671.500
0,E,5682,12495837.500
0,E,5684,12500003.562
0,E,5686,12504181.375
0,E,5748,12633315.688
0,E,5750,12637482.188
0,E,5752,12641647.562
0,E,5754,12645814.375
0,E,5756,12649979.562
0,E,5758,12654145.562
0,E,5760,12658311.500
0,E,5762,12662477.562
0,E,5764,12666643.500
0,E,5766,12670809.625
0,E,5768,12674975.500
0,E,5770,12679143.062
0,E,5796,12733299.500
0,E,5798,12737465.500
0,E,5800,12741631.500
0,E,5802,12745797.562
0,E,5804,12749963.500
0,E,5806,12754129.500
0,E,5808,12758295.562
0,E,5810,12762461.750
0,E,5812,12766627.500
0,E,5814,12770798.250
0,E,5816,12774959.500
0,E,5818,12779125.500
0,E,5868,12883275.562
0,E,5870,12887445.062
0,E,5872,12891607.562
0,E,5874,12895775.188
0,E,5876,12899939.500
0,E,5878,12904107.875
0,E,5940,13033251.562
0,E,5942,13037421.938
0,E,5944,13041583.562
0,E,5946,13045749.500
0,E,5948,13049915.500
0,E,5950,13054085.750
0,E,5952,13058247.500
0,E,5954,13062420.562
0,E,5956,13066579.562
0,E,5958,13070746.688
0,E,5960,13074911.562
0,E,5962,13079077.500
0,E,5988,13133235.562
0,E,5990,13137404.812
0,E,5992,13141567.500
0,E,5994,13145735.625
0,E,5996,13149899.625
0,E,5998,13154065.500
0,E,6000,13158231.625
0,E,6002,13162397.688
0,E,6004,13166564.312
0,E,6006,13170729.500
0,E,6008,13174895.562
0,E,6010,13179062.562
0,E,6060,13283211.562
0,E,6062,13287386.750
0,E,6064,13291543.500
0,E,6066,13295709.562
0,E,6068,13299875.500
0,E,6070,13304041.500
0,E,6132,13433187.500
0,E,6134,13437353.688
0,E,6136,13441519.500
0,E,6138,13445688.250
0,E,6140,13449851.562
0,E,6142,13454017.625
0,E,6144,13458183.750
0,E,6146,13462349.500
0,E,6148,13466515.500
0,E,6150,13470682.625
0,E,6152,13474847.500
0,E,6154,13479015.750
0,E,6180,13533171.688
0,E,6182,13537337.500
0,E,6184,13541503.500
0,E,6186,13545670.062
0,E,6188,13549835.562
0,E,6190,13554001.500
0,E,6192,13558167.500
0,E,6194,13562333.500
0,E,6196,13566499.500
0,E,6198,13570669.188
0,E,6200,13574831.562
0,E,6202,13578997.562
0,E,6252,13683147.625
0,E,6254,13687313.500
0,E,6256,13691479.500
0,E,6258,13695650.562
0,E,6260,13699811.562
0,E,6262,13703978.250
0,E,6324,13833123.562
0,E,6326,13837289.562
0,E,6328,13841455.562
0,E,6330,13845621.500
0,E,6332,13849787.500
0,E,6334,13853954.875
0,E,6336,13858119.562
0,E,6338,13862285.500
0,E,6340,13866454.688
0,E,6342,13870617.500
0,E,6344,13874784.125
0,E,6346,13878949.625
0,E,6372,13933107.500
0,E,6374,13937275.688
0,E,6376,13941439.500
0,E,6378,13945610.812
0,E,6380,13949772.125
0,E,6382,13953937.500
0,E,6384,13958103.688
0,E,6386,13962279.750
0,E,6388,13966435.500
0,E,6390,13970602.062
0,E,6392,13974767.500
0,E,6394,13978933.625
0,E,6444,14083083.500
0,E,6446,14087250.062
0,E,6448,14091415.500
0,E,6450,14095581.500
0,E,6452,14099747.750
0,E,6454,14103916.438
0,E,6516,14233059.938
0,E,6518,14237226.125
0,E,6520,14241391.500
0,E,6522,14245559.438
0,E,6524,14249723.562
0,E,6526,14253889.500
0,E,6528,14258055.500
0,E,6530,14262221.625
0,E,6532,14266387.562
0,E,6534,14270553.500
0,E,6536,14274719.500
0,E,6538,14278885.500
0,E,6564,14333043.562
0,E,6566,14337221.062
0,E,6568,14341375.500
0,E,6570,14345541.500
0,E,6572,14349707.500
0,E,6574,14353873.500
0,E,6576,14358039.562
0,E,6578,14362205.562
0,E,6580,14366371.625
0,E,6582,14370538.938
0,E,6584,14374703.500
0,E,6586,14378880.062
0,E,6636,14483019.500
0,E,6638,14487191.625
0,E,6640,14491351.500
0,E,6642,14495523.750
0,E,6644,14499686.562
0,E,6646,14503849.500
0,E,6708,14632995.625
0,E,6710,14637161.562
0,E,6712,14641327.938
0,E,6714,14645496.500
0,E,6716,14649659.500
0,E,6718,14653825.875
0,E,6720,14657991.500
0,E,6722,14662167.000
0,E,6724,14666324.188
0,E,6726,14670489.500
0,E,6728,14674655.500
0,E,6730,14678823.812
0,E,6756,14732979.562
0,E,6758,14737145.562
0,E,6760,14741311.500
0,E,6762,14745484.688
0,E,6764,14749643.500
0,E,6766,14753810.250
0,E,6768,14757975.500
0,E,6770,14762153.500
0,E,6772,14766307.562
0,E,6774,14770475.750
0,E,6776,14774639.562
0,E,6778,14778809.875
0,E,6828,14882955.562
0,E,6830,14887132.812
0,E,6832,14891287.500
0,E,6834,14895454.875
0,E,6836,14899619.500
0,E,6838,14903787.812
0,E,6900,15032931.500
0,E,6902,15037097.688
0,E,6904,15041263.500
0,E,6906,15045429.500
0,E,6908,15049595.500
0,E,6910,15053761.625
0,E,6912,15057927.500
0,E,6914,15062096.125
